Character,Asset Category,Asset Type,Asset Name,File Path,Format,Resolution/Specs,Animation Frames,Priority,Status,Notes
Fat,Audio,SFX,Hit,audio/fat/hit_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Flame sputter
Fat,Audio,SFX,Victory,audio/fat/victory_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Another life another victory
Fat,Audio,SFX,Defeat,audio/fat/defeat_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,"I'll... return..."
Fat,Audio,Music,Theme Music,audio/fat/music_theme.ogg,OGG,192kbps,N/A,P2,Nice-to-have,Epic orchestral + fire
Uni,Visual,Character Sprite,Base Form Idle,characters/uni/sprite_idle.png,PNG,128x128,16,P0,Required,Breathing + mane flow
Uni,Visual,Character Sprite,Hover State,characters/uni/sprite_hover.png,PNG,128x128,12,P0,Required,Levitation + star-dust
Uni,Visual,Character Sprite,Active/Battle Stance,characters/uni/sprite_active.png,PNG,192x192,8,P0,Required,Battle pose + aura
Uni,Visual,Character Sprite,Heal Cast,characters/uni/sprite_heal_cast.png,PNG,256x256,12,P0,Required,Horn lower + beam
Uni,Visual,Character Sprite,Shield Cast,characters/uni/sprite_shield_cast.png,PNG,256x256,8,P0,Required,Circle draw + dome
Uni,Visual,Character Sprite,Shield Loop,characters/uni/sprite_shield_loop.png,PNG,128x128,6,P0,Required,Dome maintained
Uni,Visual,Character Sprite,Teleport Out,characters/uni/sprite_teleport_out.png,PNG,128x128,8,P0,Required,Rainbow dissolve
Uni,Visual,Character Sprite,Teleport In,characters/uni/sprite_teleport_in.png,PNG,128x128,8,P0,Required,Reform + star burst
Uni,Visual,Character Sprite,Beam Charge,characters/uni/sprite_beam_charge.png,PNG,192x192,10,P0,Required,Horn spiral energy
Uni,Visual,Character Sprite,Beam Fire,characters/uni/sprite_beam_fire.png,PNG,384x128,6,P0,Required,Laser beam release
Uni,Visual,Character Sprite,Ultimate Transform,characters/uni/sprite_ultimate_transform.png,PNG,512x512,30,P0,Required,Wings manifest + celestial
Uni,Visual,Character Sprite,Ultimate Flight,characters/uni/sprite_ultimate_flight.png,PNG,256x256,16,P0,Required,Winged flight cycle
Uni,Visual,Character Sprite,Ultimate Beam,characters/uni/sprite_ultimate_beam.png,PNG,384x256,8,P0,Required,Rapid fire beams
Uni,Visual,Character Sprite,Hurt,characters/uni/sprite_hurt.png,PNG,128x128,5,P0,Required,Horn dim + recoil
Uni,Visual,Character Sprite,Defeated,characters/uni/sprite_defeat.png,PNG,128x128,15,P0,Required,Graceful collapse
Uni,Visual,Character Sprite,Celebrate,characters/uni/sprite_celebrate.png,PNG,256x256,20,P1,Optional,Rearing + fireworks
Uni,Visual,Shader,Nebula Mane Shader,characters/uni/shader_mane.gdshader,GDShader,N/A,N/A,P0,Required,Nebula flow + stars
Uni,Visual,Shader,Horn Glow Shader,characters/uni/shader_horn.gdshader,GDShader,N/A,N/A,P0,Required,Emotional color shift
Uni,Visual,Shader,Star Dust Particles,characters/uni/shader_stardust.gdshader,GDShader,N/A,N/A,P1,Optional,Sparkle trail effect
Uni,Audio,SFX,Select 01,audio/uni/select_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,"Hope shines eternal!"
Uni,Audio,SFX,Move,audio/uni/move_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Elegant hoof falls
Uni,Audio,SFX,Heal,audio/uni/heal_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,"Be whole once more!"
Uni,Audio,SFX,Shield,audio/uni/shield_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Crystal resonance
Uni,Audio,SFX,Teleport,audio/uni/teleport_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Rainbow harp
Uni,Audio,SFX,Beam,audio/uni/beam_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Power charge
Uni,Audio,SFX,Hit,audio/uni/hit_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Pained whinny
Uni,Audio,SFX,Victory,audio/uni/victory_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Darkness fades
Uni,Audio,SFX,Defeat,audio/uni/defeat_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,"My light... fades..."
Uni,Audio,Music,Theme Music,audio/uni/music_theme.ogg,OGG,192kbps,N/A,P2,Nice-to-have,Ethereal magical theme
Umbra,Visual,Character Sprite,Base Form Idle,villains/umbra/sprite_idle.png,PNG,128x128,20,P0,Required,Breathing shadow + tendril drift
Umbra,Visual,Character Sprite,Hover State,villains/umbra/sprite_hover.png,PNG,128x128,6,P0,Required,Density increase
Umbra,Visual,Character Sprite,Active/Battle Stance,villains/umbra/sprite_active.png,PNG,192x192,8,P0,Required,Explosive expansion
Umbra,Visual,Character Sprite,Shadow Strike,villains/umbra/sprite_strike.png,PNG,256x256,12,P0,Required,2D slide + impale
Umbra,Visual,Character Sprite,Darkness Cast,villains/umbra/sprite_darkness_cast.png,PNG,256x256,15,P0,Required,Tendril extend + zone
Umbra,Visual,Character Sprite,Binding Cast,villains/umbra/sprite_binding_cast.png,PNG,256x256,10,P0,Required,Chain eruption
Umbra,Visual,Character Sprite,Binding Loop,villains/umbra/sprite_binding_loop.png,PNG,128x128,8,P0,Required,Chains maintained
Umbra,Visual,Character Sprite,Corruption Cast,villains/umbra/sprite_corrupt_cast.png,PNG,192x192,12,P0,Required,Hand extend + shadow
Umbra,Visual,Character Sprite,Ultimate Transform,villains/umbra/sprite_ultimate_transform.png,PNG,512x512,30,P0,Required,Massive expansion
Umbra,Visual,Character Sprite,Ultimate Loop,villains/umbra/sprite_ultimate_loop.png,PNG,512x512,12,P0,Required,Massive form maintained
Umbra,Visual,Character Sprite,Ultimate Nova,villains/umbra/sprite_ultimate_nova.png,PNG,512x512,15,P0,Required,Shadow nova
Umbra,Visual,Character Sprite,Hurt,villains/umbra/sprite_hurt.png,PNG,128x128,5,P0,Required,Form destabilize
Umbra,Visual,Character Sprite,Defeated,villains/umbra/sprite_defeat.png,PNG,256x256,20,P0,Required,Dissolution + smoke
Umbra,Visual,Character Sprite,Victory,villains/umbra/sprite_victory.png,PNG,256x256,16,P0,Required,Expansion + darkness
Umbra,Visual,Shader,Shadow Form Shader,villains/umbra/shader_shadow.gdshader,GDShader,N/A,N/A,P0,Required,Liquid shadow effect
Umbra,Visual,Shader,Event Horizon,villains/umbra/shader_horizon.gdshader,GDShader,N/A,N/A,P0,Required,Light absorption
Umbra,Visual,Shader,Tendril Movement,villains/umbra/shader_tendrils.gdshader,GDShader,N/A,N/A,P1,Optional,Tendril animation
Umbra,Audio,SFX,Select 01,audio/umbra/select_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,"The shadows welcome you."
Umbra,Audio,SFX,Move,audio/umbra/move_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Shadow sliding
Umbra,Audio,SFX,Shadow Strike,audio/umbra/strike_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Rush + impale
Umbra,Audio,SFX,Darkness,audio/umbra/darkness_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Embrace the void
Umbra,Audio,SFX,Binding,audio/umbra/binding_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Chain eruption
Umbra,Audio,SFX,Corruption,audio/umbra/corrupt_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Channeling + infection
Umbra,Audio,SFX,Hit,audio/umbra/hit_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Form destabilize
Umbra,Audio,SFX,Defeat,audio/umbra/defeat_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Dissolution scream
Umbra,Audio,Music,Theme Music,audio/umbra/music_theme.ogg,OGG,192kbps,N/A,P2,Nice-to-have,Dark ambient horror
Glitch,Visual,Character Sprite,Base Form Idle,villains/glitch/sprite_idle.png,PNG,128x128,12,P0,Required,Fragment drift + error
Glitch,Visual,Character Sprite,Hover State,villains/glitch/sprite_hover.png,PNG,128x128,6,P0,Required,Fragment accelerate
Glitch,Visual,Character Sprite,Active/Battle Stance,villains/glitch/sprite_active.png,PNG,192x192,8,P0,Required,Explosive expansion
Glitch,Visual,Character Sprite,Corrupt Cast,villains/glitch/sprite_corrupt_cast.png,PNG,256x256,10,P0,Required,Tendril extend
Glitch,Visual,Character Sprite,Scatter Explode,villains/glitch/sprite_scatter_explode.png,PNG,256x256,8,P0,Required,Form shatter
Glitch,Visual,Character Sprite,Scatter Reform,villains/glitch/sprite_scatter_reform.png,PNG,128x128,8,P0,Required,Fragment gather
Glitch,Visual,Character Sprite,Cloud Form,villains/glitch/sprite_cloud_form.png,PNG,192x192,6,P0,Required,Dissolve into cloud
Glitch,Visual,Character Sprite,Cloud Move,villains/glitch/sprite_cloud_move.png,PNG,192x192,8,P0,Required,Cloud movement
Glitch,Visual,Character Sprite,Glitch Cast,villains/glitch/sprite_glitch_cast.png,PNG,256x256,10,P0,Required,Reality break
Glitch,Visual,Character Sprite,Ultimate Transform,villains/glitch/sprite_ultimate_transform.png,PNG,512x512,20,P0,Required,BSOD transformation
Glitch,Visual,Character Sprite,Ultimate Loop,villains/glitch/sprite_ultimate_loop.png,PNG,512x512,8,P0,Required,BSOD maintained
Glitch,Visual,Character Sprite,Ultimate Fatal,villains/glitch/sprite_ultimate_fatal.png,PNG,512x512,12,P0,Required,Fatal error projectile
Glitch,Visual,Character Sprite,Hurt,villains/glitch/sprite_hurt.png,PNG,128x128,6,P0,Required,Fragment damage
Glitch,Visual,Character Sprite,Defeated,villains/glitch/sprite_defeat.png,PNG,256x256,18,P0,Required,Fatal error + scatter
Glitch,Visual,Character Sprite,Victory,villains/glitch/sprite_victory.png,PNG,256x256,14,P0,Required,Corruption spread
Glitch,Visual,Shader,Glitch Effect Shader,villains/glitch/shader_glitch.gdshader,GDShader,N/A,N/A,P0,Required,RGB split + scanlines
Glitch,Visual,Shader,Fragment Shader,villains/glitch/shader_fragment.gdshader,GDShader,N/A,N/A,P0,Required,Floating pieces
Glitch,Visual,Shader,Static Noise,villains/glitch/shader_static.gdshader,GDShader,N/A,N/A,P1,Optional,TV static effect
Glitch,Audio,SFX,Select 01,audio/glitch/select_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,"I am the error."
Glitch,Audio,SFX,Move,audio/glitch/move_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Fragment scatter
Glitch,Audio,SFX,Corrupt,audio/glitch/corrupt_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Data stream
Glitch,Audio,SFX,Scatter,audio/glitch/scatter_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Shatter + reform
Glitch,Audio,SFX,Cloud,audio/glitch/cloud_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Dissolve + virus
Glitch,Audio,SFX,Glitch,audio/glitch/glitch_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Reality break
Glitch,Audio,SFX,Hit,audio/glitch/hit_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Fragment damage
Glitch,Audio,SFX,Defeat,audio/glitch/defeat_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,SYSTEM_HALT
Glitch,Audio,Music,Theme Music,audio/glitch/music_theme.ogg,OGG,192kbps,N/A,P2,Nice-to-have,Chiptune corruption
Void,Visual,Character Sprite,Base Form Idle,villains/void/sprite_idle.png,PNG,128x128,8,P0,Required,Event horizon pulse
Void,Visual,Character Sprite,Hover State,villains/void/sprite_hover.png,PNG,128x128,6,P0,Required,Gravity intensify
Void,Visual,Character Sprite,Active/Battle Stance,villains/void/sprite_active.png,PNG,192x192,8,P0,Required,Form definition
Void,Visual,Character Sprite,Drain Cast,villains/void/sprite_drain_cast.png,PNG,256x256,15,P0,Required,Extend + channel
Void,Visual,Character Sprite,Field Cast,villains/void/sprite_field_cast.png,PNG,256x256,10,P0,Required,Expansion + desaturation
Void,Visual,Character Sprite,Field Loop,villains/void/sprite_field_loop.png,PNG,128x128,6,P0,Required,Zone maintained
Void,Visual,Character Sprite,Singularity Cast,villains/void/sprite_singularity_cast.png,PNG,256x256,8,P0,Required,Point formation
Void,Visual,Character Sprite,Singularity Pull,villains/void/sprite_singularity_pull.png,PNG,256x256,12,P0,Required,Compression
Void,Visual,Character Sprite,Singularity Explode,villains/void/sprite_singularity_explode.png,PNG,384x384,10,P0,Required,Explosive release
Void,Visual,Character Sprite,Null Pulse,villains/void/sprite_null_pulse.png,PNG,256x256,8,P0,Required,Ring expansion
Void,Visual,Character Sprite,Ultimate Transform,villains/void/sprite_ultimate_transform.png,PNG,512x512,24,P0,Required,Heat death transformation
Void,Visual,Character Sprite,Ultimate Loop,villains/void/sprite_ultimate_loop.png,PNG,512x512,12,P0,Required,Heat death maintained
Void,Visual,Character Sprite,Hurt,villains/void/sprite_hurt.png,PNG,128x128,5,P0,Required,Gravity destabilize
Void,Visual,Character Sprite,Defeated,villains/void/sprite_defeat.png,PNG,256x256,20,P0,Required,Compression + wait
Void,Visual,Character Sprite,Victory,villains/void/sprite_victory.png,PNG,256x256,16,P0,Required,Expansion + satisfaction
Void,Visual,Shader,Event Horizon,villains/void/shader_horizon.gdshader,GDShader,N/A,N/A,P0,Required,Gravitational lensing
Void,Visual,Shader,Desaturation,villains/void/shader_desaturate.gdshader,GDShader,N/A,N/A,P0,Required,Existence drain
Void,Visual,Shader,Time Dilation,villains/void/shader_time.gdshader,GDShader,N/A,N/A,P1,Optional,Slow motion particles
Void,Audio,SFX,Select 01,audio/void/select_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Silence meaning
Void,Audio,SFX,Move,audio/void/move_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Space folding
Void,Audio,SFX,Drain,audio/void/drain_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Existence flow
Void,Audio,SFX,Field,audio/void/field_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Reality dying
Void,Audio,SFX,Singularity,audio/void/singularity_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Gravity + crush
Void,Audio,SFX,Pulse,audio/void/pulse_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Anti-sound
Void,Audio,SFX,Hit,audio/void/hit_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Gravity destabilize
Void,Audio,SFX,Defeat,audio/void/defeat_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,I will wait
Void,Audio,Music,Theme Music,audio/void/music_theme.ogg,OGG,192kbps,N/A,P2,Nice-to-have,Deep ambient void
